Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0.0,0.0,0.0,1,0.0,5849,128.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,4583,128.0,360.0,1.0,0,0
0.0,1.0,0.0,1,1.0,3000,66.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,2583,120.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,6000,141.0,360.0,1.0,2,1
0.0,1.0,2.0,1,1.0,5417,267.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,2333,95.0,360.0,1.0,2,1
0.0,1.0,3.0,1,0.0,3036,158.0,360.0,0.0,1,0
0.0,1.0,2.0,1,0.0,4006,168.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,12841,349.0,360.0,1.0,1,0
0.0,1.0,2.0,1,0.0,3200,70.0,360.0,1.0,2,1
0.0,1.0,2.0,1,0.0,2500,109.0,360.0,1.0,2,1
0.0,1.0,2.0,1,0.0,3073,200.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,1853,114.0,360.0,1.0,0,0
0.0,1.0,2.0,1,0.0,1299,17.0,120.0,1.0,2,1
0.0,0.0,0.0,1,0.0,4950,125.0,360.0,1.0,2,1
0.0,0.0,1.0,0,0.0,3596,100.0,240.0,1.0,2,1
1.0,0.0,0.0,1,0.0,3510,76.0,360.0,0.0,2,0
0.0,1.0,0.0,0,0.0,4887,133.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,2600,115.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,7660,104.0,360.0,0.0,2,0
0.0,1.0,1.0,1,0.0,5955,315.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,2600,116.0,360.0,0.0,1,0
0.0,1.0,2.0,0,0.0,3365,112.0,360.0,0.0,0,0
0.0,1.0,1.0,1,0.0,3717,151.0,360.0,1.0,1,0
0.0,1.0,0.0,1,1.0,9560,191.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2799,122.0,360.0,1.0,1,1
0.0,1.0,2.0,0,0.0,4226,110.0,360.0,1.0,2,1
0.0,0.0,0.0,0,0.0,1442,35.0,360.0,1.0,2,0
1.0,0.0,2.0,1,0.0,3750,120.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,4166,201.0,360.0,1.0,2,0
0.0,0.0,0.0,1,0.0,3167,74.0,360.0,1.0,2,0
0.0,0.0,1.0,1,1.0,4692,106.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,3500,114.0,360.0,1.0,1,1
0.0,0.0,3.0,1,0.0,12500,320.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,2275,128.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,1828,100.0,360.0,0.0,2,0
1.0,1.0,0.0,1,0.0,3667,144.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,4166,184.0,360.0,1.0,2,1
0.0,0.0,0.0,0,0.0,3748,110.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,3600,80.0,360.0,1.0,2,0
0.0,0.0,0.0,1,0.0,1800,47.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,2400,75.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,3941,134.0,360.0,1.0,1,1
0.0,1.0,0.0,0,1.0,4695,96.0,360.0,1.0,2,1
1.0,0.0,0.0,1,0.0,3410,88.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,5649,44.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,5821,144.0,360.0,1.0,2,1
1.0,1.0,0.0,1,0.0,2645,120.0,360.0,0.0,2,0
1.0,0.0,0.0,1,0.0,4000,144.0,360.0,1.0,1,1
1.0,1.0,0.0,0,0.0,1928,100.0,360.0,1.0,1,1
1.0,0.0,0.0,1,0.0,3086,120.0,360.0,1.0,1,1
1.0,0.0,0.0,1,0.0,4230,112.0,360.0,1.0,1,0
0.0,1.0,2.0,1,0.0,4616,134.0,360.0,1.0,2,0
1.0,1.0,1.0,1,1.0,11500,286.0,360.0,0.0,2,0
0.0,1.0,2.0,1,0.0,2708,97.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2132,96.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,3366,135.0,360.0,1.0,0,0
0.0,1.0,1.0,1,0.0,8080,180.0,360.0,1.0,2,1
0.0,1.0,2.0,0,0.0,3357,144.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,2500,120.0,360.0,1.0,2,1
0.0,1.0,3.0,1,0.0,3029,99.0,360.0,1.0,2,1
0.0,1.0,0.0,0,1.0,2609,165.0,180.0,0.0,0,0
0.0,1.0,1.0,1,0.0,4945,128.0,360.0,0.0,0,0
1.0,0.0,0.0,1,0.0,4166,116.0,360.0,0.0,1,0
0.0,1.0,0.0,1,0.0,5726,258.0,360.0,1.0,1,0
0.0,0.0,0.0,0,0.0,3200,126.0,180.0,0.0,2,0
0.0,1.0,1.0,1,0.0,10750,312.0,360.0,1.0,2,1
0.0,1.0,3.0,0,1.0,7100,125.0,60.0,1.0,2,1
1.0,0.0,0.0,1,0.0,4300,136.0,360.0,0.0,1,0
0.0,1.0,0.0,1,0.0,3208,172.0,360.0,1.0,2,1
0.0,1.0,2.0,0,1.0,1875,97.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,3500,81.0,300.0,1.0,1,1
0.0,1.0,3.0,0,0.0,4755,95.0,360.0,0.0,1,0
0.0,1.0,3.0,1,1.0,5266,187.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,3750,113.0,480.0,1.0,2,0
0.0,0.0,0.0,1,0.0,3750,176.0,360.0,1.0,2,0
0.0,1.0,1.0,1,1.0,1000,110.0,360.0,1.0,2,0
0.0,1.0,3.0,1,0.0,3167,180.0,300.0,0.0,1,0
0.0,1.0,3.0,0,1.0,3333,130.0,360.0,1.0,1,1
1.0,0.0,0.0,1,0.0,3846,111.0,360.0,1.0,1,1
0.0,1.0,1.0,1,1.0,2395,128.0,360.0,1.0,1,1
1.0,1.0,2.0,1,0.0,1378,167.0,360.0,1.0,2,0
0.0,1.0,0.0,1,0.0,6000,265.0,360.0,1.0,1,0
0.0,1.0,1.0,1,0.0,3988,50.0,240.0,1.0,2,1
0.0,0.0,0.0,1,0.0,2366,136.0,360.0,1.0,1,1
0.0,1.0,2.0,0,0.0,3333,99.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2500,104.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,8566,210.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,5695,175.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2958,131.0,360.0,1.0,1,1
0.0,1.0,2.0,1,0.0,6250,188.0,180.0,1.0,1,1
0.0,1.0,2.0,0,0.0,3273,81.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,4133,122.0,360.0,1.0,1,1
0.0,0.0,0.0,0,0.0,3620,25.0,120.0,1.0,1,1
0.0,0.0,0.0,1,0.0,6782,128.0,360.0,1.0,2,0
1.0,1.0,0.0,1,0.0,2484,137.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,1977,50.0,360.0,1.0,1,1
0.0,1.0,0.0,0,0.0,4188,115.0,180.0,1.0,1,1
0.0,1.0,0.0,1,0.0,1759,131.0,360.0,1.0,1,1
0.0,1.0,2.0,0,0.0,4288,133.0,180.0,1.0,2,1
0.0,0.0,0.0,1,0.0,4843,151.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,13650,128.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,4652,128.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,3816,160.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,3052,100.0,360.0,1.0,2,1
0.0,1.0,2.0,1,0.0,11417,225.0,360.0,1.0,2,1
0.0,0.0,0.0,0,0.0,7333,120.0,360.0,1.0,0,0
0.0,1.0,2.0,1,0.0,3800,216.0,360.0,0.0,2,0
0.0,1.0,3.0,0,0.0,2071,94.0,480.0,1.0,1,1
0.0,0.0,0.0,1,0.0,5316,136.0,360.0,1.0,2,1
1.0,1.0,0.0,1,0.0,2929,139.0,360.0,1.0,1,1
0.0,1.0,0.0,0,0.0,3572,152.0,360.0,0.0,0,0
1.0,0.0,1.0,1,1.0,7451,128.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,5050,118.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,14583,185.0,180.0,1.0,0,1
1.0,1.0,0.0,1,0.0,3167,154.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,2214,85.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,5568,175.0,360.0,1.0,0,0
1.0,0.0,0.0,1,0.0,10408,259.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,5667,180.0,360.0,1.0,0,1
1.0,0.0,0.0,1,0.0,4166,44.0,360.0,1.0,1,1
1.0,0.0,0.0,1,0.0,2137,137.0,360.0,0.0,1,1
0.0,1.0,2.0,1,0.0,2957,81.0,360.0,1.0,1,1
0.0,1.0,0.0,0,0.0,4300,194.0,360.0,1.0,0,1
1.0,0.0,0.0,1,0.0,3692,93.0,360.0,1.0,0,1
0.0,1.0,3.0,1,0.0,23803,370.0,360.0,1.0,0,1
0.0,0.0,0.0,1,0.0,3865,128.0,360.0,1.0,0,1
0.0,1.0,1.0,1,1.0,10513,160.0,180.0,0.0,2,0
0.0,1.0,0.0,1,0.0,6080,182.0,360.0,1.0,0,0
0.0,0.0,0.0,1,1.0,20166,650.0,480.0,1.0,2,1
0.0,0.0,0.0,1,0.0,2014,74.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,2718,70.0,360.0,1.0,1,1
0.0,1.0,0.0,1,1.0,3459,25.0,120.0,1.0,1,1
0.0,0.0,0.0,1,0.0,4895,102.0,360.0,1.0,1,1
0.0,1.0,3.0,1,0.0,4000,290.0,360.0,1.0,1,0
1.0,1.0,0.0,1,0.0,4583,84.0,360.0,1.0,0,0
0.0,1.0,2.0,1,1.0,3316,88.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,14999,242.0,360.0,0.0,1,0
0.0,1.0,2.0,0,0.0,4200,129.0,360.0,1.0,0,0
0.0,1.0,2.0,1,0.0,5042,185.0,360.0,1.0,0,0
0.0,0.0,0.0,1,0.0,5417,168.0,360.0,1.0,2,1
0.0,0.0,0.0,1,1.0,6950,175.0,180.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2698,122.0,360.0,1.0,1,1
0.0,1.0,2.0,1,0.0,11757,187.0,180.0,1.0,2,1
1.0,1.0,0.0,1,0.0,2330,100.0,360.0,1.0,1,1
1.0,1.0,2.0,1,0.0,14866,70.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,1538,30.0,360.0,1.0,2,1
1.0,0.0,0.0,1,0.0,10000,225.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,4860,125.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,6277,118.0,360.0,0.0,0,0
0.0,1.0,0.0,1,1.0,2577,152.0,360.0,1.0,0,1
0.0,0.0,0.0,1,0.0,9166,244.0,360.0,1.0,2,0
0.0,1.0,2.0,0,0.0,2281,113.0,360.0,1.0,0,0
0.0,0.0,0.0,1,0.0,3254,50.0,360.0,1.0,2,1
0.0,1.0,3.0,1,0.0,39999,600.0,180.0,0.0,1,1
0.0,1.0,1.0,1,0.0,6000,160.0,360.0,1.0,0,1
0.0,1.0,1.0,1,0.0,9538,187.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,2980,120.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,4583,255.0,360.0,1.0,1,1
0.0,1.0,0.0,0,0.0,1863,98.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,7933,275.0,360.0,1.0,2,0
0.0,1.0,1.0,1,0.0,3089,121.0,360.0,0.0,1,0
0.0,1.0,2.0,1,0.0,4167,158.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,9323,75.0,180.0,1.0,2,1
0.0,1.0,0.0,1,0.0,3707,182.0,360.0,1.0,0,1
1.0,1.0,0.0,1,0.0,4583,112.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,2439,129.0,360.0,1.0,0,1
0.0,0.0,0.0,1,0.0,2237,63.0,480.0,0.0,1,0
0.0,1.0,2.0,1,0.0,8000,200.0,360.0,1.0,1,1
0.0,1.0,0.0,0,0.0,1820,95.0,360.0,1.0,0,1
0.0,1.0,3.0,1,0.0,51763,700.0,300.0,1.0,2,1
0.0,1.0,3.0,0,0.0,3522,81.0,180.0,1.0,0,0
0.0,1.0,0.0,1,0.0,5708,187.0,360.0,1.0,1,1
0.0,1.0,0.0,0,1.0,4344,87.0,360.0,1.0,1,0
0.0,1.0,0.0,1,0.0,3497,116.0,360.0,1.0,0,1
0.0,1.0,2.0,1,0.0,2045,101.0,360.0,1.0,0,1
0.0,1.0,3.0,1,0.0,5516,495.0,360.0,0.0,1,0
0.0,1.0,1.0,1,0.0,3750,116.0,360.0,1.0,1,1
0.0,0.0,0.0,0,0.0,2333,102.0,480.0,0.0,2,0
0.0,1.0,1.0,1,0.0,6400,180.0,360.0,0.0,2,0
0.0,0.0,0.0,1,0.0,1916,67.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,4600,73.0,180.0,1.0,1,1
0.0,1.0,1.0,1,0.0,33846,260.0,360.0,1.0,1,0
1.0,1.0,0.0,1,0.0,3625,108.0,360.0,1.0,1,1
0.0,1.0,0.0,1,1.0,39147,120.0,360.0,1.0,1,1
0.0,1.0,1.0,1,1.0,2178,66.0,300.0,0.0,0,0
0.0,1.0,0.0,1,0.0,2383,58.0,360.0,1.0,0,1
0.0,1.0,0.0,1,1.0,674,168.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,9328,188.0,180.0,1.0,0,1
0.0,0.0,0.0,0,0.0,4885,48.0,360.0,1.0,0,1
0.0,0.0,0.0,1,0.0,12000,164.0,360.0,1.0,1,0
0.0,1.0,0.0,0,0.0,6033,160.0,360.0,1.0,2,0
0.0,0.0,0.0,1,0.0,3858,76.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,4191,120.0,360.0,1.0,0,1
0.0,1.0,1.0,1,0.0,3125,170.0,360.0,1.0,1,0
0.0,0.0,0.0,1,0.0,8333,187.0,360.0,1.0,0,1
1.0,0.0,0.0,0,0.0,1907,120.0,360.0,1.0,2,1
1.0,1.0,0.0,1,0.0,3416,113.0,360.0,1.0,1,1
0.0,0.0,0.0,1,1.0,11000,83.0,360.0,1.0,2,0
0.0,1.0,1.0,0,0.0,2600,90.0,360.0,1.0,1,1
0.0,0.0,2.0,1,0.0,4923,166.0,360.0,0.0,1,1
0.0,1.0,3.0,0,0.0,3992,128.0,180.0,1.0,2,0
0.0,1.0,1.0,0,0.0,3500,135.0,360.0,1.0,2,1
0.0,1.0,2.0,0,0.0,3917,124.0,360.0,1.0,1,1
1.0,0.0,0.0,0,0.0,4408,120.0,360.0,1.0,1,1
1.0,0.0,0.0,1,0.0,3244,80.0,360.0,1.0,2,1
0.0,0.0,0.0,0,0.0,3975,55.0,360.0,1.0,0,1
0.0,0.0,0.0,1,0.0,2479,59.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,3418,127.0,360.0,1.0,1,0
1.0,0.0,0.0,1,0.0,10000,214.0,360.0,1.0,1,0
0.0,1.0,3.0,1,0.0,3430,128.0,360.0,0.0,1,0
0.0,1.0,1.0,1,1.0,7787,240.0,360.0,1.0,2,1
0.0,1.0,3.0,0,1.0,5703,130.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,3173,137.0,360.0,1.0,2,1
0.0,1.0,3.0,0,0.0,3850,100.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,150,135.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,3727,131.0,360.0,1.0,1,1
0.0,1.0,2.0,1,0.0,5000,72.0,360.0,0.0,1,0
1.0,1.0,2.0,1,0.0,4283,127.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2221,60.0,360.0,0.0,2,0
0.0,1.0,2.0,1,0.0,4009,116.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,2971,144.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,7578,175.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,6250,128.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,3250,170.0,360.0,1.0,0,0
0.0,1.0,0.0,0,1.0,4735,138.0,360.0,1.0,2,0
0.0,1.0,2.0,1,0.0,6250,210.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,4758,158.0,480.0,1.0,1,1
0.0,0.0,0.0,1,1.0,6400,200.0,360.0,1.0,0,1
0.0,1.0,1.0,1,0.0,2491,104.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,3716,42.0,180.0,1.0,0,1
0.0,0.0,0.0,0,0.0,3189,120.0,360.0,1.0,0,1
1.0,0.0,0.0,1,0.0,8333,280.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,3155,140.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,5500,170.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,5746,255.0,360.0,1.0,2,0
1.0,0.0,0.0,1,1.0,3463,122.0,360.0,1.0,2,1
1.0,0.0,1.0,1,0.0,3812,112.0,360.0,1.0,0,1
0.0,1.0,1.0,1,0.0,3315,96.0,360.0,1.0,1,1
0.0,1.0,2.0,1,0.0,5819,120.0,360.0,1.0,0,1
0.0,1.0,1.0,0,0.0,2510,140.0,180.0,1.0,2,0
0.0,0.0,0.0,1,0.0,2965,155.0,60.0,1.0,2,1
0.0,1.0,2.0,1,1.0,6250,108.0,360.0,1.0,0,1
0.0,1.0,0.0,0,0.0,3406,123.0,360.0,1.0,1,1
0.0,0.0,0.0,1,1.0,6050,120.0,180.0,1.0,2,0
0.0,1.0,2.0,1,0.0,9703,112.0,360.0,1.0,2,1
0.0,1.0,1.0,0,0.0,6608,137.0,180.0,1.0,2,1
0.0,1.0,1.0,1,0.0,2882,123.0,480.0,1.0,1,1
0.0,1.0,0.0,1,0.0,1809,90.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,1668,201.0,360.0,0.0,1,0
1.0,0.0,2.0,1,0.0,3427,138.0,360.0,1.0,2,0
0.0,0.0,0.0,0,1.0,2583,104.0,360.0,1.0,0,1
0.0,1.0,1.0,0,0.0,2661,279.0,180.0,1.0,1,1
0.0,0.0,0.0,1,1.0,16250,192.0,360.0,0.0,2,0
1.0,0.0,3.0,1,0.0,3083,255.0,360.0,1.0,0,1
0.0,0.0,0.0,0,0.0,6045,115.0,360.0,0.0,0,0
0.0,1.0,3.0,1,0.0,5250,94.0,360.0,1.0,2,0
0.0,1.0,0.0,1,0.0,14683,304.0,360.0,1.0,0,0
0.0,1.0,3.0,0,0.0,4931,128.0,360.0,1.0,1,0
0.0,1.0,1.0,1,0.0,6083,330.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,2060,134.0,360.0,1.0,1,1
1.0,0.0,1.0,1,0.0,3481,155.0,36.0,1.0,1,0
1.0,0.0,0.0,1,0.0,7200,120.0,360.0,1.0,0,1
0.0,0.0,0.0,1,1.0,5166,128.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,4095,151.0,360.0,1.0,0,1
0.0,1.0,2.0,1,0.0,4708,150.0,360.0,1.0,1,1
0.0,1.0,3.0,1,0.0,4333,160.0,360.0,0.0,2,1
1.0,0.0,0.0,1,0.0,3418,135.0,360.0,1.0,0,0
1.0,0.0,1.0,1,0.0,2876,90.0,360.0,1.0,2,1
1.0,0.0,0.0,1,0.0,3237,30.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,11146,136.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,2833,126.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,2620,150.0,360.0,1.0,1,1
0.0,1.0,2.0,1,0.0,3900,90.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,2750,115.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,3993,207.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,3103,80.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,14583,436.0,360.0,1.0,1,1
1.0,1.0,0.0,0,0.0,4100,124.0,360.0,1.0,0,1
0.0,0.0,1.0,0,1.0,4053,158.0,360.0,0.0,2,0
0.0,1.0,0.0,1,0.0,3927,112.0,360.0,1.0,1,1
0.0,1.0,2.0,1,0.0,2301,78.0,180.0,1.0,2,1
1.0,0.0,0.0,1,0.0,1811,54.0,360.0,1.0,2,1
0.0,1.0,0.0,1,0.0,20667,128.0,360.0,1.0,0,0
0.0,0.0,0.0,1,0.0,3158,89.0,360.0,1.0,0,1
1.0,0.0,0.0,1,1.0,2600,99.0,300.0,1.0,1,0
0.0,1.0,0.0,1,0.0,3704,120.0,360.0,1.0,0,1
1.0,0.0,0.0,1,0.0,4124,115.0,360.0,1.0,1,1
0.0,0.0,0.0,1,0.0,9508,187.0,360.0,1.0,0,1
0.0,1.0,0.0,1,0.0,3075,139.0,360.0,1.0,0,1
0.0,1.0,2.0,1,0.0,4400,127.0,360.0,0.0,1,0
0.0,1.0,2.0,1,0.0,3153,134.0,360.0,1.0,2,1
1.0,0.0,0.0,1,0.0,5417,143.0,480.0,0.0,2,0
0.0,1.0,0.0,1,0.0,2383,172.0,360.0,1.0,1,1
0.0,1.0,3.0,1,0.0,4416,110.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,6875,200.0,360.0,1.0,1,1
1.0,1.0,1.0,1,0.0,4666,135.0,360.0,1.0,2,1
1.0,0.0,0.0,1,0.0,5000,151.0,480.0,1.0,0,0
0.0,1.0,1.0,1,0.0,2014,113.0,360.0,1.0,2,0
0.0,1.0,0.0,0,0.0,1800,93.0,360.0,0.0,2,0
0.0,1.0,0.0,0,0.0,2875,105.0,360.0,1.0,1,1
1.0,0.0,0.0,1,0.0,5000,132.0,360.0,1.0,0,1
0.0,1.0,1.0,1,0.0,1625,96.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,4000,140.0,360.0,1.0,0,1
